lmin,lmax,const,const_err,log_t,log_t_err
-8.608189,-6.036484,-0.873968,0.000283,-0.498104,0.000041
-7.852781,-5.363006,-0.812343,0.000159,-0.488847,0.000026
-7.743252,-4.024758,-0.859675,0.000075,-0.496847,0.000015
-7.518869,-6.024045,-0.817749,0.000329,-0.489430,0.000050
-7.441115,-5.892359,-0.829977,0.000298,-0.491156,0.000046
-7.090954,-4.194170,-0.847386,0.000081,-0.494786,0.000016
-6.958337,-4.629442,-0.820741,0.000092,-0.490146,0.000017
-6.957063,-5.079858,-0.812462,0.000148,-0.488726,0.000026
-8.441188,-5.917359,-0.871945,0.000242,-0.497739,0.000036
-6.701291,-5.025201,-0.819456,0.000154,-0.489983,0.000027
-8.539442,-5.978589,-0.874024,0.000263,-0.498074,0.000039
-8.670617,-4.856251,-0.825564,0.000099,-0.491223,0.000017
-8.316558,-5.534231,-0.830810,0.000202,-0.491836,0.000032
-7.448165,-5.245105,-0.795476,0.000127,-0.485995,0.000021
-7.925998,-5.113307,-0.818474,0.000121,-0.489831,0.000020
-8.965446,-4.050585,-0.859957,0.000068,-0.496977,0.000013
-6.645189,-5.607689,-0.811378,0.000407,-0.488562,0.000067
-8.249133,-5.454672,-0.825501,0.000181,-0.491020,0.000029
-8.202891,-5.262303,-0.818457,0.000141,-0.489954,0.000023
-7.471182,-4.652184,-0.817356,0.000082,-0.489506,0.000015
-6.557200,-6.293964,-0.824159,0.001000,-0.491104,0.000156
-7.816527,-4.872666,-0.812230,0.000094,-0.488796,0.000016
-7.864766,-4.895995,-0.814063,0.000096,-0.489108,0.000017
-8.057004,-4.668929,-0.823800,0.000080,-0.490737,0.000014
-7.094700,-5.524727,-0.786814,0.000236,-0.484557,0.000038
-6.782980,-4.159968,-0.855560,0.000081,-0.496438,0.000016
-7.221720,-4.827055,-0.803874,0.000094,-0.487247,0.000017
-7.798041,-4.355960,-0.831168,0.000068,-0.491911,0.000013
-6.924136,-4.502586,-0.820305,0.000077,-0.490089,0.000015
-7.942054,-4.533768,-0.821292,0.000068,-0.490294,0.000012
-7.273999,-5.946929,-0.818503,0.000368,-0.489382,0.000057
-8.417749,-5.084684,-0.829399,0.000120,-0.491706,0.000020
-7.660613,-5.760961,-0.830992,0.000241,-0.491466,0.000037
-6.986684,-4.949045,-0.809573,0.000120,-0.488237,0.000021
-7.225984,-5.373791,-0.790057,0.000166,-0.485060,0.000027
-7.379536,-5.328286,-0.793324,0.000145,-0.485616,0.000024
-6.946395,-5.067970,-0.813665,0.000147,-0.488929,0.000025
-6.837516,-4.689441,-0.820922,0.000102,-0.490236,0.000019
-7.776463,-5.649388,-0.825452,0.000216,-0.490732,0.000034
-7.293511,-4.920258,-0.804979,0.000103,-0.487426,0.000018
-8.181547,-4.521123,-0.823710,0.000066,-0.490753,0.000012
-8.992219,-4.570507,-0.833504,0.000080,-0.492596,0.000014
-8.313346,-4.990165,-0.826246,0.000106,-0.491181,0.000018
-6.843488,-5.778144,-0.846932,0.000372,-0.494098,0.000060
-8.493033,-4.723152,-0.826112,0.000084,-0.491242,0.000015
-7.206189,-5.848713,-0.824096,0.000325,-0.490234,0.000051
-7.423233,-5.431014,-0.793486,0.000170,-0.485672,0.000028
-8.353937,-4.024376,-0.859826,0.000070,-0.496878,0.000014
-8.714924,-6.280348,-0.885819,0.000399,-0.499763,0.000056
-8.820530,-4.210932,-0.847580,0.000066,-0.494851,0.000013
