lmin,lmax,const,const_err,log_t,log_t_err
-3.267781,-0.545137,2.736997,0.000023,-0.320803,0.000015
-3.746066,-0.357826,2.738231,0.000022,-0.319247,0.000015
-3.582893,-0.908873,2.746043,0.000037,-0.315880,0.000020
-4.072044,-1.358390,2.761249,0.000060,-0.308985,0.000026
-3.006794,-0.706767,2.736782,0.000026,-0.321414,0.000016
-3.720975,-0.201132,2.738026,0.000017,-0.319397,0.000012
-2.894849,-0.479508,2.735023,0.000016,-0.322565,0.000012
-4.490446,-0.104058,2.739718,0.000020,-0.317288,0.000015
-3.028855,-2.221690,2.765344,0.000088,-0.309008,0.000034
-4.072235,-0.584934,2.741715,0.000035,-0.316990,0.000021
-3.501553,-1.327857,2.755010,0.000045,-0.312217,0.000021
-4.191435,-1.924395,2.780255,0.000088,-0.302332,0.000032
-3.090667,-0.778484,2.738562,0.000028,-0.320348,0.000017
-3.860622,-2.266335,2.788257,0.000101,-0.300133,0.000035
-3.767448,-0.954771,2.748712,0.000040,-0.314411,0.000021
-4.049451,-1.576736,2.766793,0.000072,-0.307022,0.000029
-4.479082,-0.481243,2.742146,0.000035,-0.316117,0.000022
-3.452247,-1.619588,2.760440,0.000060,-0.310188,0.000026
-3.933390,-2.254619,2.788818,0.000101,-0.299891,0.000035
-2.891922,-0.322593,2.735135,0.000012,-0.322500,0.000010
-3.003525,-0.262806,2.735729,0.000012,-0.321967,0.000009
-3.877141,-2.156087,2.784071,0.000098,-0.301444,0.000035
-2.669788,-1.848052,2.753122,0.000038,-0.314137,0.000017
-4.132982,-1.049565,2.753994,0.000048,-0.311673,0.000024
-4.322485,-1.343306,2.763324,0.000065,-0.307867,0.000028
-4.367081,-1.744586,2.776382,0.000087,-0.303346,0.000033
-4.343957,-1.320067,2.762979,0.000064,-0.307959,0.000028
-2.787504,-2.130492,2.756647,0.000079,-0.312580,0.000033
-4.425702,-1.021446,2.755344,0.000054,-0.310694,0.000026
-4.022196,-1.706988,2.770887,0.000075,-0.305638,0.000030
-2.594964,-1.678797,2.749801,0.000032,-0.315615,0.000016
-3.590111,-2.208236,2.781398,0.000106,-0.302598,0.000038
-3.655679,-0.587356,2.739630,0.000030,-0.318705,0.000019
-3.758945,-1.984065,2.776119,0.000087,-0.304178,0.000033
-3.607072,-1.990279,2.773997,0.000086,-0.305075,0.000033
-2.532544,-1.155892,2.742497,0.000022,-0.319122,0.000013
-3.030044,-0.168674,2.736299,0.000010,-0.321571,0.000009
-3.694446,-1.121173,2.752162,0.000043,-0.313074,0.000021
-3.207070,-0.626377,2.737413,0.000025,-0.320705,0.000016
-3.959898,-0.527544,2.740390,0.000031,-0.317801,0.000019
-3.545640,-1.633133,2.762255,0.000065,-0.309352,0.000028
-2.559828,-1.813497,2.751992,0.000043,-0.314647,0.000020
-2.479383,-1.166649,2.742386,0.000023,-0.319216,0.000013
-4.013438,-0.193107,2.738801,0.000019,-0.318507,0.000014
-2.673764,-1.826348,2.752692,0.000037,-0.314318,0.000017
-3.708879,-0.589102,2.739937,0.000031,-0.318458,0.000019
-4.402283,-0.459681,2.741525,0.000033,-0.316533,0.000021
-3.237905,-0.936102,2.743992,0.000029,-0.317456,0.000016
-2.519398,-0.298222,2.734315,0.000010,-0.323543,0.000009
-4.402357,-1.229489,2.760898,0.000062,-0.308630,0.000028
