beta,dt,Nsimstotal,nu,nu_err,const,const_err
0.001,1e-10,1500,-0.490451,0.082322,-3.154869,1.156023
0.01,1e-9,1250,-0.485498,0.065444,-1.970426,0.821465
0.1,1e-8,900,-0.485017,0.067570,-0.803894,0.677080
0.2,1e-8,1000,-0.479255,0.057062,-0.381172,0.566388
0.3,1e-8,1198,-0.482596,0.061168,-0.157709,0.553766
0.4,5e-8,994,-0.477278,0.072947,0.060799,0.581346
0.5,5e-8,1057,-0.477551,0.083842,0.266589,0.577550
0.6,5e-8,1100,-0.469024,0.055713,0.434965,0.466835
0.7,5e-8,1300,-0.450697,0.055416,0.649220,0.440183
0.8,1e-7,1250,-0.436309,0.045114,0.843531,0.384334
0.9,1e-7,1250,-0.426703,0.041923,1.001471,0.355982
1.0,1e-7,1044,-0.431294,0.049421,1.116149,0.369803
1.5,1e-7,1115,-0.368639,0.031249,1.867106,0.243640
2.0,1e-7,1416,-0.314057,0.020263,2.475178,0.167015
2.5,2.5e-7,1002,-0.277638,0.014802,2.945169,0.121561
3.0,1e-6,1067,-0.249335,0.011389,3.342166,0.093076
4.0,4e-6,1000,-0.198954,0.007870,3.915009,0.059918
